season,section_e,division_e,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile,section_a,division_a
2022-2023,57,Wad Elnaw,0.78,0.44,0.56,6.45,1.63,0.17,0.79,0.44,0.56,6.53,1.65,0.17,0.07,0.07,0.26,0.49,0.12,0.07,0.88,0.74,0.93,11.14,2.82,0.2,0.06,0.1,0.1,1.65,0.42,0.01,0.76,0.37,0.49,5.36,1.36,0.17,0.25,0.82,0.51,0.63,7.59,1.92,0.18,0.75,57,ود النو
2022-2023,88,Elbasatna,0.78,0.45,0.55,6.71,1.7,0.17,0.8,0.45,0.55,6.77,1.71,0.17,0.0,0.06,0.24,0.22,0.05,0.03,0.87,0.76,0.94,12.32,3.11,0.2,0.08,0.11,0.11,1.77,0.45,0.01,0.76,0.39,0.48,5.72,1.45,0.17,0.25,0.82,0.52,0.61,7.75,1.96,0.18,0.75,88,البساتنا
2022-2023,Abdah_Fadul,Tabat,0.78,0.41,0.59,6.62,1.67,0.18,0.8,0.41,0.59,6.75,1.71,0.19,0.0,0.06,0.34,0.28,0.07,0.05,0.88,0.66,0.94,11.33,2.86,0.24,0.06,0.11,0.11,1.95,0.49,0.02,0.76,0.34,0.52,5.33,1.35,0.18,0.25,0.82,0.48,0.66,8.09,2.04,0.19,0.75,عبد الفاضل,طابت
2022-2023,Abu_Gin,Kab_Elgidad,0.78,0.3,0.7,5.16,1.3,0.19,0.8,0.3,0.7,5.09,1.29,0.19,0.0,0.03,0.3,0.03,0.01,0.01,0.88,0.7,0.97,12.92,3.26,0.29,0.08,0.09,0.09,1.87,0.47,0.03,0.76,0.25,0.65,3.89,0.98,0.17,0.25,0.83,0.35,0.75,6.4,1.62,0.21,0.75,ابو جن,كاب الدجاج
2022-2023,Abu_Hawa,Elhafair,0.77,0.38,0.62,6.81,1.72,0.2,0.77,0.38,0.62,6.71,1.7,0.2,0.41,0.07,0.33,0.95,0.24,0.14,0.86,0.67,0.93,12.72,3.21,0.24,0.05,0.1,0.1,2.11,0.53,0.02,0.74,0.31,0.55,5.35,1.35,0.19,0.25,0.8,0.45,0.69,8.24,2.08,0.2,0.75,ابو حوا,الحفاير
2022-2023,Abu_Quta,Abd_ElMagid,0.79,0.26,0.74,4.48,1.13,0.19,0.81,0.27,0.73,4.38,1.11,0.19,0.23,0.03,0.52,0.39,0.1,0.12,0.89,0.48,0.97,9.07,2.29,0.27,0.07,0.09,0.09,1.79,0.45,0.03,0.77,0.21,0.68,3.15,0.8,0.17,0.25,0.83,0.32,0.79,5.82,1.47,0.21,0.75,ابو قوتا,عبد المجيد
2022-2023,Abu_Usher,Al_Gourashi,0.79,0.4,0.6,6.67,1.69,0.18,0.8,0.41,0.59,6.8,1.72,0.19,0.0,0.04,0.15,0.05,0.01,0.01,0.88,0.85,0.96,13.73,3.47,0.25,0.07,0.11,0.11,2.07,0.52,0.02,0.77,0.33,0.52,5.26,1.33,0.18,0.25,0.83,0.48,0.67,8.2,2.07,0.2,0.75,ابو عشر,القرشي
2022-2023,Affan,Matouri,0.76,0.38,0.62,6.11,1.55,0.18,0.77,0.37,0.63,6.16,1.56,0.19,0.05,0.06,0.37,0.42,0.11,0.07,0.85,0.63,0.94,10.21,2.58,0.22,0.07,0.09,0.09,1.59,0.4,0.01,0.74,0.32,0.57,5.13,1.3,0.18,0.25,0.8,0.43,0.68,7.18,1.82,0.19,0.75,عفان,ماطوري
2022-2023,Al_Awamrah,Abd_ElMagid,0.79,0.3,0.7,5.25,1.33,0.19,0.81,0.3,0.7,5.31,1.34,0.19,0.02,0.04,0.46,0.12,0.03,0.03,0.88,0.54,0.96,9.85,2.49,0.27,0.07,0.08,0.08,1.86,0.47,0.03,0.78,0.24,0.64,3.9,0.99,0.17,0.25,0.83,0.36,0.76,6.58,1.66,0.21,0.75,العوامرة,عبد المجيد
2022-2023,Al_Saadana,Turabi,0.78,0.37,0.63,6.07,1.53,0.18,0.8,0.36,0.64,6.1,1.54,0.19,0.14,0.06,0.32,0.34,0.09,0.05,0.87,0.68,0.94,11.64,2.94,0.28,0.06,0.1,0.1,1.96,0.5,0.02,0.76,0.3,0.57,4.73,1.2,0.17,0.25,0.82,0.43,0.7,7.5,1.9,0.2,0.75,السعدانا,الترابي
