season,section_e,division_e,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile,section_a,division_a
2022-2023,57,Wad Elnaw,0.75,0.44,0.56,3.98,1.51,0.27,0.76,0.46,0.54,4.18,1.59,0.28,0.12,0.08,0.25,0.31,0.12,0.12,0.85,0.75,0.92,6.89,2.61,0.32,0.06,0.09,0.09,0.99,0.38,0.02,0.74,0.4,0.5,3.55,1.35,0.26,0.25,0.78,0.5,0.6,4.61,1.75,0.28,0.75,57,ود النو
2022-2023,88,Elbasatna,0.76,0.49,0.51,4.53,1.72,0.28,0.77,0.5,0.5,4.63,1.76,0.29,0.15,0.1,0.19,0.42,0.16,0.14,0.85,0.81,0.9,7.31,2.77,0.33,0.05,0.09,0.09,0.94,0.36,0.02,0.75,0.44,0.45,4.0,1.52,0.28,0.25,0.79,0.55,0.56,5.16,1.96,0.29,0.75,88,البساتنا
2022-2023,Abdah_Fadul,Tabat,0.74,0.41,0.59,4.39,1.67,0.33,0.76,0.42,0.58,4.59,1.74,0.33,0.0,0.05,0.31,0.1,0.04,0.06,0.85,0.69,0.95,7.81,2.96,0.41,0.08,0.11,0.11,1.34,0.51,0.03,0.73,0.35,0.52,3.69,1.4,0.32,0.25,0.79,0.48,0.65,5.32,2.02,0.34,0.75,عبد الفاضل,طابت
2022-2023,Abu_Gin,Kab_Elgidad,0.77,0.42,0.58,5.01,1.9,0.36,0.79,0.44,0.56,5.22,1.98,0.37,0.0,0.03,0.18,0.0,0.0,0.0,0.87,0.82,0.97,9.76,3.7,0.5,0.09,0.11,0.11,1.64,0.62,0.04,0.76,0.36,0.5,4.13,1.57,0.34,0.25,0.81,0.5,0.64,6.1,2.31,0.38,0.75,ابو جن,كاب الدجاج
2022-2023,Abu_Hawa,Elhafair,0.74,0.39,0.61,4.27,1.62,0.32,0.76,0.41,0.59,4.5,1.71,0.32,0.04,0.05,0.32,0.26,0.1,0.12,0.83,0.68,0.95,7.26,2.75,0.39,0.08,0.1,0.1,1.32,0.5,0.03,0.73,0.33,0.53,3.5,1.33,0.31,0.25,0.78,0.47,0.67,5.23,1.98,0.33,0.75,ابو حوا,الحفاير
2022-2023,Abu_Quta,Abd_ElMagid,0.76,0.38,0.62,4.5,1.71,0.35,0.8,0.42,0.58,4.94,1.88,0.36,0.0,0.03,0.35,0.09,0.03,0.08,0.88,0.65,0.97,8.67,3.29,0.43,0.11,0.14,0.14,1.84,0.7,0.04,0.76,0.29,0.52,3.23,1.23,0.34,0.25,0.82,0.48,0.71,5.83,2.21,0.38,0.75,ابو قوتا,عبد المجيد
2022-2023,Abu_Usher,Al_Gourashi,0.76,0.45,0.55,4.96,1.88,0.34,0.79,0.47,0.53,5.12,1.94,0.34,0.0,0.06,0.22,0.12,0.04,0.05,0.89,0.78,0.94,9.47,3.59,0.43,0.09,0.12,0.12,1.6,0.61,0.03,0.75,0.38,0.46,4.06,1.54,0.33,0.25,0.81,0.54,0.62,6.08,2.31,0.36,0.75,ابو عشر,القرشي
2022-2023,Affan,Matouri,0.75,0.45,0.55,4.63,1.76,0.3,0.77,0.47,0.53,4.87,1.85,0.31,0.0,0.06,0.27,0.23,0.09,0.09,0.84,0.73,0.94,7.77,2.95,0.36,0.07,0.1,0.1,1.19,0.45,0.03,0.75,0.4,0.48,4.07,1.55,0.3,0.25,0.79,0.52,0.6,5.43,2.06,0.31,0.75,عفان,ماطوري
2022-2023,Al_Awamrah,Abd_ElMagid,0.76,0.36,0.64,4.39,1.67,0.36,0.8,0.39,0.61,4.63,1.76,0.37,0.0,0.04,0.35,0.0,0.0,0.0,0.88,0.65,0.96,9.3,3.53,0.47,0.11,0.14,0.14,2.0,0.76,0.05,0.74,0.26,0.53,2.8,1.06,0.34,0.25,0.83,0.47,0.74,5.91,2.24,0.39,0.75,العوامرة,عبد المجيد
2022-2023,Al_Saadana,Turabi,0.77,0.43,0.57,4.93,1.87,0.35,0.79,0.44,0.56,5.07,1.92,0.36,0.0,0.05,0.23,0.12,0.05,0.08,0.87,0.77,0.95,8.99,3.41,0.44,0.07,0.11,0.11,1.43,0.54,0.03,0.76,0.37,0.49,4.18,1.59,0.34,0.25,0.81,0.51,0.63,5.9,2.24,0.37,0.75,السعدانا,الترابي
